contract,method,run_index,instance_same_all_fields,instance_compare_line,raw_result_line
compute,normalCal,23,true,2026-06-15 17:32:31.990	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:6302f76b63f641a4808fdd2a813b966c contract: method:normalCal instanceId:26d7123b8c25494899e8c1dc51270ba7 same_all_fields:true,"2026-06-15 17:32:31.990	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 23 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,24,true,2026-06-15 17:32:32.008	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:8b088e1d1d5e4e34bca77859bbc03257 contract: method:normalCal instanceId:64f34aa62b8f406f9a78d7c4c4f6a156 same_all_fields:true,"2026-06-15 17:32:32.009	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 24 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,25,true,2026-06-15 17:32:32.027	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:7ff185b976dd4115859d0d827e791d00 contract: method:normalCal instanceId:db91e3b43df64c72821176995070b2c0 same_all_fields:true,"2026-06-15 17:32:32.027	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 25 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,26,true,2026-06-15 17:32:32.044	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:d9a77ba9f8334a0db31aee6d8a602299 contract: method:normalCal instanceId:23601fb99c454d80a165e5932944f9fa same_all_fields:true,"2026-06-15 17:32:32.044	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 26 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,27,true,2026-06-15 17:32:32.063	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:3a9f1e2e83f04d54aa471a8d22886da4 contract: method:normalCal instanceId:0845589a38754de5b41539f532d6cb82 same_all_fields:true,"2026-06-15 17:32:32.063	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 27 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,28,true,2026-06-15 17:32:32.084	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:24f68c33ba734b34bd13dd1af74de4fa contract: method:normalCal instanceId:26d7123b8c25494899e8c1dc51270ba7 same_all_fields:true,"2026-06-15 17:32:32.084	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 28 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,29,true,2026-06-15 17:32:32.103	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:5cceef138c6c4b9184bce2394c7aaa64 contract: method:normalCal instanceId:64f34aa62b8f406f9a78d7c4c4f6a156 same_all_fields:true,"2026-06-15 17:32:32.103	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 29 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,30,true,2026-06-15 17:32:32.121	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:d01a777d39bf46e190b1b54e5a99bd9e contract: method:normalCal instanceId:db91e3b43df64c72821176995070b2c0 same_all_fields:true,"2026-06-15 17:32:32.121	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 30 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,31,true,2026-06-15 17:32:32.138	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:40ac3e3c204643fcb7b16a3d89c3eaeb contract: method:normalCal instanceId:23601fb99c454d80a165e5932944f9fa same_all_fields:true,"2026-06-15 17:32:32.138	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 31 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,32,true,2026-06-15 17:32:32.156	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:1d3e9b545b05408aaab795670f656a6e contract: method:normalCal instanceId:0845589a38754de5b41539f532d6cb82 same_all_fields:true,"2026-06-15 17:32:32.156	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 32 contractResult = result:""success normalCal: 666"" gas_used:100000072"
